,City,Country,Temperatures (F),Latitude,Longitude,Humidity %,Wind (mph),Cloudiness
0,manzhouli,CN,6.35,49.6,117.4333,95,5.06,96
1,khatanga,RU,-19.52,71.9667,102.5,83,4.63,34
2,vaini,TO,82.4,-21.2,-175.2,89,9.22,75
3,nouadhibou,MR,64.76,20.931,-17.0347,73,17.67,0
4,ranong,TH,74.19,9.9658,98.6348,87,4.38,41
5,butaritari,KI,81.64,3.0707,172.7902,76,16.51,99
6,yichang,CN,43.0,30.7144,111.2847,80,1.68,0
7,hermanus,ZA,68.0,-34.4187,19.2345,83,1.99,2
8,sao joao da barra,BR,75.7,-21.6403,-41.0511,86,4.92,99
9,torbay,CA,24.87,47.6666,-52.7314,80,23.02,75
10,hilo,US,73.98,19.7297,-155.09,53,4.61,75
11,busselton,AU,55.63,-33.65,115.3333,98,7.11,24
12,albany,US,23.38,42.6001,-73.9662,47,4.16,99
13,urbano santos,BR,75.76,-3.2078,-43.4036,93,3.87,100
14,rikitea,PF,78.67,-23.1203,-134.9692,77,14.83,18
15,cape town,ZA,68.56,-33.9258,18.4232,83,16.11,0
16,avera,US,67.1,33.194,-82.5271,88,5.75,90
17,hobart,AU,64.2,-42.8794,147.3294,59,11.5,0
18,yellowknife,CA,-5.89,62.456,-114.3525,65,4.61,1
19,landerneau,FR,30.2,48.4525,-4.2525,59,19.57,0
20,sechura,PE,78.31,-5.5569,-80.8222,67,14.61,10
21,hami,CN,28.98,42.8,93.45,82,8.01,81
22,qaanaaq,GL,6.76,77.484,-69.3632,74,9.95,100
23,tomatlan,MX,79.54,19.9333,-105.25,52,10.33,0
24,berlevag,NO,22.82,70.8578,29.0864,58,17.27,40
25,cururupu,BR,78.28,-1.8283,-44.8683,83,3.29,100
26,lasa,IT,32.13,46.6166,10.7002,86,4.61,40
27,nanortalik,GL,22.96,60.1432,-45.2371,89,10.47,28
28,bluff,NZ,53.82,-46.6,168.3333,87,32.82,100
